# number nodes: 4232
# number links: 8013
# hub: Haethrow Airport (LHR)
# Date/Time: 28.11.2018/08:00
3639	732
1385	2531
2531	1385
2123	745
3378	745
2347	2791
414	2478
3959	2162
2085	1166
2085	521
460	3959
1418	3579
209	575
1994	209
3735	2478
209	1225
209	4212
3735	2443
209	1994
209	1166
209	3756
209	521
209	2478
84	209
209	3162
209	526
209	4019
209	2357
209	2104
209	3115
209	3959
209	1364
1737	209
209	2443
209	3735
209	2809
710	988
3272	988
2588	988
476	988
2724	988
3378	988
988	2103
2123	988
988	296
988	113
988	3162
988	2104
988	2101
988	4212
988	2809
988	2214
988	1017
2104	988
988	507
988	2478
988	2022
988	1166
988	521
988	1248
988	3959
988	2198
988	391
988	1225
988	2176
988	1004
988	2356
988	2104
988	2101
823	2104
21	2945
2347	2445
2588	2445
1542	2445
2866	2445
2123	2445
3390	2445
2445	3123
9	2445
3779	2445
285	2445
2445	2883
1448	2445
2445	2176
2445	3707
1878	2445
2445	2656
1321	2445
352	2445
2445	285
3773	2445
1381	2445
3405	2445
2657	2445
2445	2357
2445	1556
2445	92
1771	2445
3985	2445
2445	3923
2445	2478
2445	296
1542	2445
2445	1542
2445	2104
986	2445
2445	3556
2883	2445
1004	2445
2445	2198
2445	3235
3707	2445
2445	3162
2445	2705
2445	1004
2445	390
2445	116
2445	3950
2445	2541
2445	4149
2445	528
2445	2194
2445	427
285	2445
2445	2162
2445	1317
2445	1166
2445	87
2445	985
2445	2809
2445	3707
2445	2983
2445	4183
2445	3601
2445	3972
2445	4019
2445	3988
2445	2370
2445	3877
2445	3545
2445	460
2445	209
2445	2357
2445	2614
2445	2085
2445	2656
2445	521
2445	113
2445	2481
3545	2445
1741	2445
2445	526
2445	4149
2445	3162
2445	200
2445	3649
2614	2445
2445	202
2445	3352
2445	3579
2445	3452
2445	1556
3488	2445
1877	2445
3250	2445
2445	1741
2445	2605
2445	3700
2445	3488
2445	3488
2445	3489
2445	3545
2445	3177
2445	3170
686	2445
2445	362
3352	2445
2445	3250
2445	4212
2445	3405
2445	390
2445	1364
4152	2445
2076	2445
4149	2445
2445	3612
3877	2445
2445	305
1674	2445
2445	2809
2445	3735
2176	530
530	3162
530	2347
530	2176
530	3026
3132	529
3133	529
3405	2028
2028	2588
2028	985
2028	256
2028	285
2028	3405
376	2028
113	2345
2809	2345
2104	2345
2345	2809
2345	3342
2345	710
2345	2176
3390	2345
3329	2345
2345	3933
530	2345
2419	2345
2313	2345
476	2345
2345	3747
2345	2104
2345	113
3791	2345
2345	2809
2345	2062
3773	2345
2345	2588
2062	2345
2588	2345
2345	3773
2345	3061
2966	2345
455	2345
3207	1318
3378	2345
3272	2345
2345	3791
2345	455
2344	2345
2345	2419
2345	3333
2966	2345
2345	717
3431	3053
2347	1323
3822	377
597	2811
2811	86
2811	810
2265	2713
2316	86
985	86
86	2809
2811	86
2713	2811
2265	729
810	2265
135	2265
815	3494
2445	3410
942	3410
3410	111
1729	3410
942	3410
727	3410
3410	13
3410	2511
2355	627
1653	3410
32	815
